donor,epsilon,converged,foscttm,label_transfer_accuracy,alignment_score,rmse,nmi,asw_label,ari,asw_batch,graph_connectivity
s4d8,0.005,True,0.4193,0.2865532604293236,0.6563524762897492,0.25335228,0.4797411879640106,0.4921036325395107,0.2021875661132353,0.5946814740324159,0.6874156536595715
s4d8,0.01,True,0.2538,0.605609558525719,0.4406652645083297,0.22340454,0.4875388111845365,0.508654123172164,0.2110757488303122,0.5376532493104776,0.6248417993902864
s4d8,0.05,True,0.4317,0.4140340218712029,0.0162882689512392,0.2352628,0.318490522576865,0.5029704621993005,0.158570614268783,0.4384219680778784,0.4776331529518486
s4d8,0.1,True,0.438,0.4140340218712029,0.0152299683589194,0.23534104,0.3072135537714657,0.5025996705517173,0.1713825022318697,0.4374043300311893,0.4779085946558609
s4d8,0.5,True,0.4413,0.4140340218712029,0.0147231765259778,0.23537803,0.315703998986073,0.5023054499179125,0.1744438445834698,0.4368859359910302,0.478889502603713
s4d9,0.001,True,0.3168,0.4298265895953757,0.8364188735045034,0.2612318,0.575638997515817,0.5073451772332191,0.5163775048808206,0.7269810026441043,0.7669458104074047
s4d9,0.005,True,0.2107,0.5290173410404624,0.6368947439171931,0.21720845,0.6129468717330878,0.522516768425703,0.5393165684880951,0.5647918701291483,0.8477613870804968
s4d9,0.01,True,0.148,0.578728323699422,0.3191880629116818,0.2120175,0.5735667835327253,0.5156706962734461,0.3563827238799201,0.4735812800916206,0.5998416523193908
s4d9,0.05,True,0.4437,0.2073988439306358,0.0156284446834251,0.23538202,0.358277703777313,0.5042926678434014,0.2452063400574742,0.4327906108518458,0.4734367461788498
s4d9,0.1,True,0.4512,0.2073988439306358,0.0152923780077968,0.23540062,0.3506422498968047,0.5042078676633537,0.2405399870697427,0.4325341640399445,0.469577118143946
s4d9,0.5,True,0.4541,0.2073988439306358,0.0151014921360399,0.23541127,0.3356069344111448,0.5041617113165557,0.2459489474722338,0.4323667039161639,0.4650319007306999
