donor,epsilon,alpha,emb_src,emb_tgt,geo_cost_linear,geo_cost_quad,converged,foscttm,label_transfer_accuracy,alignment_score,rmse,nmi,asw_label,ari,asw_batch,graph_connectivity,combined_cost
s1d1,0.001,0.25,X_pca_norm,X_lsi_norm,True,True,False,0.0931,0.8018958868894601,0.8489665395140559,0.20319751,0.7169757009021419,0.5403531193733215,0.6709110621909341,0.6934361498403078,0.9357560732444048,True_True
s1d1,0.001,0.25,X_pca_norm,X_lsi_norm,True,False,False,0.1044,0.7990038560411311,0.8538980222240651,0.21060984,0.723066320428777,0.5334189385175705,0.6798448914946782,0.7798841425011039,0.9270345055575074,True_False
s1d1,0.001,0.25,X_pca_norm,X_lsi_norm,False,True,False,0.1935,0.7016388174807198,0.9802779562982004,0.25968277,0.6140884702584494,0.5118211070075631,0.4690015289173044,0.9691058841911572,0.7547446638428106,False_True
s1d1,0.001,0.25,X_pca_norm,X_lsi_norm,False,False,False,0.1978,0.6977827763496144,0.9769233559996684,0.25989988,0.6247709883291389,0.5115029718726873,0.5447023004186576,0.9651373739616586,0.7953478808346471,False_False
s1d1,0.001,0.25,X_scVI_norm,X_poissonVI_norm,True,True,False,0.0797,0.7496786632390745,0.6948052284600714,0.21946175,0.6891484944418418,0.525449600070715,0.5790615008215193,0.7183468435844602,0.9238099621198316,True_True
s1d1,0.001,0.25,X_scVI_norm,X_poissonVI_norm,True,False,False,0.0963,0.718508997429306,0.9451045381043204,0.2542159,0.6815292215477093,0.5090341409668326,0.5263382192375642,0.9009646313827964,0.8975051977554916,True_False
s1d1,0.001,0.25,X_scVI_norm,X_poissonVI_norm,False,True,False,0.1298,0.6478149100257069,0.9904272742350112,0.28591847,0.6324625961097223,0.5022919625043869,0.494566967783821,0.9376361414068706,0.7804867137893933,False_True
s1d1,0.001,0.25,X_scVI_norm,X_poissonVI_norm,False,False,False,0.1321,0.6444408740359897,0.9886845405920888,0.28652558,0.626859373080079,0.5021692798472941,0.5000781699504313,0.9384423628466684,0.7999859925576367,False_False
s1d1,0.001,0.5,X_pca_norm,X_lsi_norm,True,True,False,0.0692,0.8166773778920309,0.8403163612239821,0.1944516,0.710857312486827,0.545987457036972,0.6211271617606986,0.60412998202021,0.9346389781420976,True_True
s1d1,0.001,0.5,X_pca_norm,X_lsi_norm,True,False,False,0.0919,0.80896529562982,0.8490546479807611,0.20552273,0.7166613757697697,0.5359591841697693,0.6571588554712198,0.745825373459693,0.9128242074851984,True_False
