donor,epsilon_1,epsilon_2,foscttm,label_transfer_accuracy,alignment_score,rmse,nmi,asw_label,ari,asw_batch,graph_connectivity
s1d1,0.001,0.001,0.3759,0.3063946015424164,0.853629809685712,0.2753863824885512,0.4629864967609595,0.4976832924092307,0.3701394397268369,0.7905005365007547,0.7498801931057693
s1d1,0.001,0.005,0.3647,0.2758676092544987,0.8306581184177793,0.2582016748914573,0.5047944751064013,0.505868857345572,0.4053493628794586,0.6910357516587433,0.7409422196682989
s1d1,0.001,0.01,0.4892,0.0819408740359897,0.8018220312629571,0.2635980860190665,0.4412045002718159,0.4996622171195806,0.2647074443711276,0.6321187596185955,0.7226325801544713
s1d1,0.001,0.05,0.4599,0.1127892030848329,0.5517274442325235,0.247105036957748,0.4937651335942437,0.4959974798623873,0.271899247963045,0.5325119051010408,0.6081147189062888
s1d1,0.001,0.1,0.4602,0.1735218508997429,0.2173545173729165,0.2386037430484667,0.4333983046772322,0.4926077781419384,0.2696278779549473,0.4956878107620652,0.4351999904242872
s1d1,0.001,0.5,0.467,0.1638817480719794,0.2094623310390581,0.2387257384854044,0.3549169149616041,0.4923323103369926,0.2556675167869753,0.4957747878736576,0.4360097867353925
s1d1,0.005,0.001,0.3509,0.3287275064267352,0.7475718343146198,0.2389884369911234,0.5512479276049401,0.5044250312593721,0.3762840785344885,0.5668382563221648,0.6988804736503911
s1d1,0.005,0.005,0.3194,0.3214974293059126,0.6312284911684218,0.2321010040529826,0.6012711542666707,0.5077806446211831,0.3794903100468069,0.5103432775941992,0.6797727468868449
s1d1,0.005,0.01,0.3442,0.2835796915167095,0.4814674205987229,0.2320733704681712,0.5653580484906313,0.5041732432157386,0.3363874080833171,0.4797983892879363,0.6252072884975406
s1d1,0.005,0.05,0.4698,0.1720758354755784,0.1751414918318269,0.2361261545531842,0.3969842575718992,0.4973839374795971,0.2639609900073426,0.4610120044781206,0.4312112233340413
s1d1,0.005,0.1,0.4726,0.1690231362467866,0.1745985881913923,0.2361574852541169,0.3560647621125468,0.4973601587915517,0.2497810112024417,0.4610356198320386,0.4316620636020528
s1d1,0.005,0.5,0.4749,0.1687017994858611,0.1743005742598888,0.2361786239008537,0.3452239558784121,0.4973487485147409,0.252646213378328,0.4610531646275362,0.4291075888995103
s1d1,0.01,0.001,0.4988,0.1415488431876606,0.5332415104900904,0.23976099029679,0.6145589060016026,0.5052106783560459,0.4149535396744132,0.4948244549052296,0.5263941296110032
s1d1,0.01,0.005,0.3456,0.2840616966580976,0.3721403619703126,0.231870935894994,0.5626023214707371,0.5040809373261955,0.3478059745958395,0.4585339725641763,0.4661818810413246
s1d1,0.01,0.01,0.445,0.1730398457583547,0.2151880856621609,0.2369404653359836,0.4727648093409321,0.5010367520186466,0.2933028346560217,0.4547599819387197,0.4264422491658904
s1d1,0.01,0.05,0.4738,0.1632390745501285,0.140349013185173,0.2356826494774251,0.3858090035789359,0.499678380386852,0.2630932932011094,0.4479634640553806,0.4212898024270232
s1d1,0.01,0.1,0.4758,0.1635604113110539,0.1402544261547391,0.2356956370595578,0.3565473849476656,0.4996669288498678,0.2505459800234631,0.447973733078973,0.4213512881445552
s1d1,0.01,0.5,0.4774,0.1635604113110539,0.1401753876772533,0.2357053971251136,0.350152263348925,0.4996597867787083,0.2519382242621851,0.4479818723271434,0.4236796805584783
s1d1,0.05,0.001,0.4829,0.1348007712082262,0.0940778153246537,0.2355074355150027,0.5053941094329782,0.5024828664553702,0.305824744752176,0.4372169027822624,0.4253765800357582
s1d1,0.05,0.005,0.4689,0.1285347043701799,0.081390196119081,0.2355347893097139,0.4472810596182924,0.501830656959248,0.2755136538451943,0.4352481028165993,0.4237935245852362
s1d1,0.05,0.01,0.4743,0.1290167095115681,0.081180290654283,0.2355569013034599,0.4225739339885697,0.5017654583382745,0.270004340350403,0.4352492630246776,0.4238697164920423
